,CPU_utilization
15/11/2009 1:05,48.36666667
15/11/2009 1:10,48.7
15/11/2009 1:15,48.4
15/11/2009 1:20,48.33333333
15/11/2009 1:25,48.53333333
15/11/2009 1:30,48.16666667
15/11/2009 1:35,48.36666667
15/11/2009 1:40,48.66666667
15/11/2009 1:45,48.33333333
15/11/2009 1:50,48.1
15/11/2009 1:55,48.9
15/11/2009 2:00,48.63333333
15/11/2009 2:05,48
15/11/2009 2:10,48.3
15/11/2009 2:15,48
15/11/2009 2:20,48
15/11/2009 2:25,48.3
15/11/2009 2:30,48
15/11/2009 2:35,48
15/11/2009 2:40,48.3
15/11/2009 2:45,48
15/11/2009 2:50,48
15/11/2009 2:55,48.33333333
15/11/2009 3:00,48
15/11/2009 3:05,48
15/11/2009 3:10,48.33333333
15/11/2009 3:15,48.03333333
15/11/2009 3:20,48
15/11/2009 3:25,48.3
15/11/2009 3:30,48
15/11/2009 3:35,48.03333333
15/11/2009 3:40,48.3
15/11/2009 3:45,48.06666667
15/11/2009 3:50,48
15/11/2009 3:55,48.36666667
15/11/2009 4:00,48
15/11/2009 4:05,47.96666667
15/11/2009 4:10,48.3
15/11/2009 4:15,48
15/11/2009 4:20,48
15/11/2009 4:25,48.36666667
15/11/2009 4:30,48.03333333
15/11/2009 4:35,48
15/11/2009 4:40,48.3
15/11/2009 4:45,48.1
15/11/2009 4:50,48
15/11/2009 4:55,48.33333333
15/11/2009 5:00,48
15/11/2009 5:05,47.96666667
15/11/2009 5:10,48.4
15/11/2009 5:15,48
15/11/2009 5:20,48.03333333
15/11/2009 5:25,48.3
15/11/2009 5:30,48
15/11/2009 5:35,48
15/11/2009 5:40,48.3
15/11/2009 5:45,48.1
15/11/2009 5:50,47.93333333
15/11/2009 5:55,48.3
15/11/2009 6:00,47.96666667
15/11/2009 6:05,48.06666667
15/11/2009 6:10,48.3
15/11/2009 6:15,48
15/11/2009 6:20,48
15/11/2009 6:25,48.33333333
15/11/2009 6:30,48
15/11/2009 6:35,47.96666667
15/11/2009 6:40,48.36666667
15/11/2009 6:45,48.06666667
15/11/2009 6:50,48
15/11/2009 6:55,48.33333333
15/11/2009 7:00,47.96666667
15/11/2009 7:05,47.93333333
15/11/2009 7:10,48.33333333
15/11/2009 7:15,48
15/11/2009 7:20,48
15/11/2009 7:25,48.3
15/11/2009 7:30,48
15/11/2009 7:35,48.03333333
15/11/2009 7:40,48.33333333
15/11/2009 7:45,48
15/11/2009 7:50,48
15/11/2009 7:55,48.4
15/11/2009 8:00,48.03333333
15/11/2009 8:05,48
15/11/2009 8:10,48.4
15/11/2009 8:15,48
15/11/2009 8:20,48
15/11/2009 8:25,48.46666667
15/11/2009 8:30,48
15/11/2009 8:35,48
15/11/2009 8:40,48.33333333
15/11/2009 8:45,48.1
15/11/2009 8:50,48
15/11/2009 8:55,48.3
15/11/2009 9:00,48
15/11/2009 9:05,48
15/11/2009 9:10,48.33333333
15/11/2009 9:15,48
15/11/2009 9:20,48
15/11/2009 9:25,48.23333333
15/11/2009 9:30,48.03333333
15/11/2009 9:35,47.93333333
15/11/2009 9:40,48.36666667
15/11/2009 9:45,48.06666667
15/11/2009 9:50,48
15/11/2009 9:55,48.36666667
15/11/2009 10:00,48.03333333
15/11/2009 10:05,48.06666667
15/11/2009 10:10,48.3
15/11/2009 10:15,48.06666667
15/11/2009 10:20,48.03333333
15/11/2009 10:25,48.43333333
15/11/2009 10:30,48.06666667
15/11/2009 10:35,48.03333333
15/11/2009 10:40,48.4
15/11/2009 10:45,48.13333333
15/11/2009 10:50,48
15/11/2009 10:55,48.3
15/11/2009 11:00,48
15/11/2009 11:05,48
15/11/2009 11:10,48.3
15/11/2009 11:15,48
15/11/2009 11:20,48
15/11/2009 11:25,48.3
15/11/2009 11:30,48
15/11/2009 11:35,48.03333333
15/11/2009 11:40,48.3
15/11/2009 11:45,48.06666667
15/11/2009 11:50,48
15/11/2009 11:55,48.3
15/11/2009 12:00,48
15/11/2009 12:05,48.03333333
15/11/2009 12:10,48.33333333
15/11/2009 12:15,48
15/11/2009 12:20,48
15/11/2009 12:25,48.3
15/11/2009 12:30,48
15/11/2009 12:35,48
15/11/2009 12:40,48.3
15/11/2009 12:45,48.03333333
15/11/2009 12:50,49.23333333
15/11/2009 12:55,48.8
15/11/2009 13:00,48
15/11/2009 13:05,48.03333333
15/11/2009 13:10,48.33333333
15/11/2009 13:15,48
15/11/2009 13:20,47.93333333
15/11/2009 13:25,48.3
15/11/2009 13:30,48
15/11/2009 13:35,48
15/11/2009 13:40,48.26666667
15/11/2009 13:45,48
15/11/2009 13:50,48
15/11/2009 13:55,48.33333333
15/11/2009 14:00,48
15/11/2009 14:05,47.96666667
15/11/2009 14:10,48.3
15/11/2009 14:15,47.96666667
15/11/2009 14:20,48
15/11/2009 14:25,48.33333333
15/11/2009 14:30,47.96666667
15/11/2009 14:35,48
15/11/2009 14:40,48.43333333
15/11/2009 14:45,48.1
15/11/2009 14:50,48
15/11/2009 14:55,48.33333333
15/11/2009 15:00,47.96666667
15/11/2009 15:05,48
15/11/2009 15:10,48.3
15/11/2009 15:15,48.1
15/11/2009 15:20,48
15/11/2009 15:25,48.33333333
15/11/2009 15:30,48
15/11/2009 15:35,48
15/11/2009 15:40,48.3
15/11/2009 15:45,48.1
15/11/2009 15:50,48
15/11/2009 15:55,48.36666667
15/11/2009 16:00,48
15/11/2009 16:05,48
15/11/2009 16:10,48.3
15/11/2009 16:15,48
15/11/2009 16:20,48
15/11/2009 16:25,48.3
15/11/2009 16:30,48
15/11/2009 16:35,48
15/11/2009 16:40,48.33333333
15/11/2009 16:45,48.16666667
15/11/2009 16:50,48.03333333
15/11/2009 16:55,48.3
15/11/2009 17:00,48
15/11/2009 17:05,48
15/11/2009 17:10,48.3
15/11/2009 17:15,47.96666667
15/11/2009 17:20,48
15/11/2009 17:25,48.4
15/11/2009 17:30,48
15/11/2009 17:35,48
15/11/2009 17:40,48.3
15/11/2009 17:45,48.06666667
15/11/2009 17:50,48.03333333
15/11/2009 17:55,48.3
15/11/2009 18:00,47.96666667
15/11/2009 18:05,47.96666667
15/11/2009 18:10,48.26666667
15/11/2009 18:15,48
15/11/2009 18:20,48.03333333
15/11/2009 18:25,48.3
15/11/2009 18:30,48
15/11/2009 18:35,48
15/11/2009 18:40,48.3
15/11/2009 18:45,48.06666667
15/11/2009 18:50,47.96666667
15/11/2009 18:55,48.33333333
15/11/2009 19:00,48
15/11/2009 19:05,48
15/11/2009 19:10,48.33333333
15/11/2009 19:15,48
15/11/2009 19:20,47.93333333
15/11/2009 19:25,48.33333333
15/11/2009 19:30,48
15/11/2009 19:35,48
15/11/2009 19:40,48.33333333
15/11/2009 19:45,48.03333333
15/11/2009 19:50,47.93333333
15/11/2009 19:55,48.36666667
15/11/2009 20:00,48
15/11/2009 20:05,47.96666667
15/11/2009 20:10,48.3
15/11/2009 20:15,48.06666667
15/11/2009 20:20,48
15/11/2009 20:25,48.26666667
15/11/2009 20:30,48
15/11/2009 20:35,48
15/11/2009 20:40,48.33333333
15/11/2009 20:45,48.1
15/11/2009 20:50,48
15/11/2009 20:55,48.3
15/11/2009 21:00,48
15/11/2009 21:05,48.03333333
15/11/2009 21:10,48.3
15/11/2009 21:15,48
15/11/2009 21:20,47.9
15/11/2009 21:25,48.4
15/11/2009 21:30,48
15/11/2009 21:35,48
15/11/2009 21:40,48.36666667
15/11/2009 21:45,48.03333333
15/11/2009 21:50,48
15/11/2009 21:55,48.36666667
15/11/2009 22:00,48
15/11/2009 22:05,48.1
15/11/2009 22:10,48.36666667
15/11/2009 22:15,48.16666667
15/11/2009 22:20,48.13333333
15/11/2009 22:25,48.36666667
15/11/2009 22:30,48.1
15/11/2009 22:35,48.03333333
15/11/2009 22:40,48.5
15/11/2009 22:45,48.16666667
15/11/2009 22:50,48.06666667
15/11/2009 22:55,48.66666667
15/11/2009 23:00,48.16666667
15/11/2009 23:05,48.1
15/11/2009 23:10,48.5
15/11/2009 23:15,48.03333333
15/11/2009 23:20,48
15/11/2009 23:25,48.46666667
15/11/2009 23:30,48.06666667
15/11/2009 23:35,48.1
15/11/2009 23:40,48.43333333
15/11/2009 23:45,48.13333333
15/11/2009 23:50,48.06666667
15/11/2009 23:55,48.43333333
16/11/2009 0:00,48.03333333
16/11/2009 0:05,48.2
16/11/2009 0:10,48.66666667
16/11/2009 0:15,48.43333333
16/11/2009 0:20,48.36666667
16/11/2009 0:25,48.76666667
16/11/2009 0:30,48.26666667
16/11/2009 0:35,48.36666667
16/11/2009 0:40,48.8
16/11/2009 0:45,48.53333333
